Title,Year,Duration,MostLiked,Description,Director,FullCast,GenreFull,AboutFull,Age
Tum Milo Toh Sahi,2010.0,127,0.0,An astute but old-fashioned law clerk steps up to help the owner of a cafe in a legal battle that has both business and personal ramifications.,['Kabir Sadanand'],"['nana Patekar,', 'Dimple Kapadia,', 'Sunil Shetty,', 'Vidya Malvade,', 'Rehan Khan,', 'Anjana Sukhani,', 'Mohnish Bahl,', 'Vrajesh Hirjee']","['Romantic Comedies,', 'Indian,', 'Hindi-Language Movies,', 'Bollywood Movies,', 'Comedies']","['Emotional,', 'Romantic']",13
Tune in for Love,2019.0,122,0.0,"A student and a reticent teen first meet at a bakery in the 1990s and try to find each other through the years, as fate keeps pulling them apart.",['Jung Ji-woo'],"['Kim Go-eun,', 'Jung Hae-in,', 'Park Hae-joon,', 'Kim Guk-hee,', 'Jung Eugene,', 'Choi Jun-young,', 'Yoo Yeol,', 'Nam Mun-cheol']","['Korean,', 'Dramas,', 'Romantic Movies']","['Intimate,', 'Heartfelt']",16
UFO,2022.0,110,0.0,"When aspiring musician and student Deniz falls for a rough-hewn motorbike racer, tragedy and family opposition obstruct their path to love.",['Onur Bilgetay'],"['İpek Filiz Yazıcı,', 'Mert Ramazan Demir,', 'Ferit Aktuğ,', 'Kerem Alp Kabul,', 'Mekin Sezer,', 'Enes Külahçı,', 'Elif Çakman,', 'Cemile Canyurt,', 'Eda Akalın,', 'Nilsu Yılmaz']","['Turkish,', 'Dramas,', 'Romantic Movies']","['Intimate,', 'Emotional,', 'Romantic']",16
Unexpectedly Yours,2017.0,110,0.0,"A pair of former batchmates cross paths 30 years later when they wind up as new neighbors, and their reconnection soon blossoms into something more.",['Cathy Garcia-Molina'],"['Sharon Cuneta,', 'Robin Padilla,', 'Julia Barretto,', 'Joshua Garcia,', 'John Estrada,', 'Pilar Pilapil,', 'Marissa Delgado,', 'Maritoni Fernandez']","['Filipino,', 'Romantic Comedies,', 'Comedies,', 'Romantic Movies']",['Romantic'],13
Unfaithful,2002.0,123,0.0,Fiery passion throws a contented marriage into jeopardy when suburban mom Connie begins an erotic affair with a younger man.,['Adrian Lyne'],"['Richard Gere,', 'Diane Lane,', 'Olivier Martinez,', 'Erik Per Sullivan,', 'Chad Lowe,', 'Dominic Chianese,', 'Erich Anderson,', 'Michelle Monaghan,', 'Kate Burton,', 'Margaret Colin,', 'Željko Ivanek,', 'Michael Emerson,', 'Gary Basaraba,', 'Myra Lucretia Taylor']","['Dramas,', 'Thriller Movies,', 'Romantic Movies']","['Steamy,', 'Intimate,', 'Suspenseful']",16
The Unmarried Wife,2016.0,130,0.0,"Tired of her husband's cheating, Anne begins a passionate new relationship -- while still wondering if she should give her marriage another chance.",['Maryo J. De los Reyes'],"['Angelica Panganiban,', 'Dingdong Dantes,', 'Paulo Avelino,', 'Maricar Reyes,', 'Denise Laurel,', 'Dimples Romana,', 'Justin Cuyugan,', 'Mart Escudero,', 'Pamu Pamorada,', 'Lei Andre Navarro,', 'Irma Adlawan']","['Filipino,', 'Dramas,', 'Romantic Movies']","['Emotional,', 'Romantic']",13
Uppena,2020.0,144,0.0,"The son of a fishing community falls for a village head's daughter, but they face violent opposition from the girl’s doggedly old-fashioned father.",['Buchi Babu Sana'],"['Panja Vaisshnav Tej,', 'Krithi Shetty,', 'Vijay Sethupathi']","['Social Issue Dramas,', 'Indian,', 'Telugu-Language Movies,', 'Dramas,', 'Romantic Movies']","['Emotional,', 'Romantic']",13
Us and Them,2018.0,119,0.0,"Two strangers meet on a train and form a bond that evolves over the years. After a separation, they reconnect and reflect on their love for each other.",['Rene Liu'],"['Jing Boran,', 'Zhou Dongyu,', 'Tian Zhuangzhuang,', 'Qu Zheming,', 'Zhang Zixian,', 'Jack Roth,', 'Andrew Tiernan,', 'Tim Bentinck,', 'Sophie Colquhoun']","['Movies Based on Books,', 'Chinese Movies,', 'Dramas,', 'Romantic Movies']","['Emotional,', 'Romantic']",13
Varane Avashyamund,2020.0,144,0.0,"At an apartment complex, the lives of a mother, a daughter seeking an arranged marriage, a military retiree and a young man become intertwined.",['Anoop Sathyan'],"['Shobana,', 'Urvashi,', 'Lal Jose,', 'Suresh Gopi,', 'Dulquer Salmaan,', 'Kalyani Priyadarshan,', 'Lalu Alex,', 'Sarvajith Santosh Sivan,', 'Johny Antony,', 'K.P.A.C. Lalitha']","['Romantic Comedies,', 'Indian,', 'Malayalam-Language Movies,', 'Comedies,', 'Dramas']","['Charming,', 'Feel-Good,', 'Romantic']",13
Velvet Colección: Grand Finale,2020.0,82,0.0,"During Christmas 1969, the impending sale of Velvet reunites past and present staff in Madrid for fond remembrances, second chances and new beginnings.",['Gustavo Ron'],"['Marta Hazas,', 'Asier Etxeandia,', 'Adrián Lastra,', 'Javier Rey,', 'Llorenç González,', 'Andrea Duro,', 'Fernando Guallar,', 'Diego Martín,', 'Andrés Velencoso,', 'Maxi Iglesias']","['Spanish,', 'Dramas,', 'Romantic Movies']","['Intimate,', 'Emotional']",13
